,imdb_id,title,isAdult,year,minutes,genres,imdb_av_rating,imdb_num_votes,worldwide,domestic
1371,tt0361696,Raise Your Voice,0,2004,103.0,"Family,Music,Musical",5.9,25968.0,14867514,10411980.0
1372,tt0361715,Duma,0,2005,100.0,"Adventure,Drama,Family",7.2,7473.0,994790,870067.0
1373,tt0361748,Inglourious Basterds,0,2009,153.0,"Adventure,Drama,War",8.3,1176205.0,321455689,120540719.0
1374,tt0361841,Little Black Book,0,2004,107.0,"Comedy,Drama,Romance",5.3,16873.0,22034832,20698668.0
1375,tt0361862,The Machinist,0,2004,101.0,"Drama,Thriller",7.7,339230.0,8203235,1082715.0
1376,tt0361925,Welcome to Mooseport,0,2004,110.0,"Comedy,Romance",5.2,11845.0,14615099,14470947.0
1377,tt0362120,Scary Movie 4,0,2006,83.0,Comedy,5.1,109222.0,178262620,90710620.0
1378,tt0362129,Seeing Other People,0,2004,90.0,"Comedy,Romance",5.8,2294.0,87923,87923.0
1379,tt0362165,Son of the Mask,0,2005,94.0,"Comedy,Family,Fantasy",2.2,50265.0,57552641,17018422.0
1380,tt0362225,Tell No One,0,2006,131.0,"Crime,Drama,Mystery",7.5,47734.0,33406992,6177192.0
1381,tt0362227,The Terminal,0,2004,128.0,"Comedy,Drama,Romance",7.3,378814.0,218685607,77872883.0
1382,tt0362269,Kinsey,0,2004,118.0,"Biography,Drama,Romance",7.0,46327.0,16918723,10254979.0
1383,tt0362270,The Life Aquatic with Steve Zissou,0,2004,119.0,"Action,Adventure,Comedy",7.3,170437.0,34808403,24020403.0
1384,tt0362511,Dorm Daze,0,2003,96.0,"Comedy,Crime,Mystery",4.6,7474.0,436365,56127.0
1385,tt0362526,Criminal,0,2004,87.0,"Comedy,Crime,Drama",6.4,9791.0,1398053,929233.0
1386,tt0363095,Freeze Frame,0,2004,99.0,"Crime,Drama,Mystery",6.4,2753.0,39663,1100.0
1387,tt0363163,Downfall,0,2004,156.0,"Biography,Drama,History",8.2,314551.0,92181574,5509040.0
1388,tt0363282,New York Minute,0,2004,91.0,"Comedy,Crime,Family",4.9,20825.0,21289826,14071441.0
1389,tt0363472,Bewafaa,0,2005,149.0,"Drama,Romance",4.3,2203.0,1258036,670076.0
1390,tt0363504,Bigger Than the Sky,0,2005,106.0,"Comedy,Drama,Romance",5.9,1391.0,21398,21398.0
1391,tt0363510,The Revolution Will Not Be Televised,0,2003,74.0,Documentary,8.3,2337.0,153859,153859.0
1392,tt0363532,Intimate Strangers,0,2004,104.0,"Drama,Romance,Thriller",7.0,4610.0,7120939,2110589.0
1393,tt0363547,Dawn of the Dead,0,2004,101.0,"Action,Horror",7.3,225093.0,102278712,59020957.0
1394,tt0363589,Elephant,0,2003,81.0,"Crime,Drama,Thriller",7.2,82249.0,10012022,1266955.0
1395,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,2005,143.0,"Adventure,Family,Fantasy",6.9,349239.0,745013115,291710957.0
1396,tt0363988,Secret Window,0,2004,96.0,"Drama,Mystery,Thriller",6.6,174122.0,92913171,48022900.0
1397,tt0364045,Taking Lives,0,2004,103.0,"Crime,Mystery,Thriller",6.2,76930.0,65470529,32682342.0
1398,tt0364093,A Talking Picture,0,2003,96.0,"Comedy,Drama,History",6.6,1850.0,601815,20237.0
1399,tt0364303,Dev,0,2004,172.0,Drama,6.9,1248.0,158357,84728.0
1400,tt0364343,The Final Cut,0,2004,95.0,"Drama,Sci-Fi,Thriller",6.2,30027.0,3222439,551281.0
1401,tt0364517,Love Me If You Dare,0,2003,93.0,"Comedy,Drama,Romance",7.6,64824.0,8561371,553504.0
1402,tt0364569,Oldboy,0,2003,120.0,"Action,Drama,Mystery",8.4,478041.0,14980005,707481.0
1403,tt0364725,Dodgeball: A True Underdog Story,0,2004,92.0,"Comedy,Sport",6.7,219079.0,167722310,114326736.0
1404,tt0364751,Without a Paddle,0,2004,95.0,"Adventure,Comedy,Mystery",5.9,42748.0,69397368,58169327.0
1405,tt0364955,Art School Confidential,0,2006,102.0,"Comedy,Drama,Romance",6.3,16221.0,3306629,3297137.0
1406,tt0364961,The Assassination of Richard Nixon,0,2004,95.0,"Biography,Crime,Drama",7.0,24814.0,4407814,708776.0
1407,tt0364970,Babylon A.D.,0,2008,90.0,"Action,Adventure,Sci-Fi",5.6,91173.0,72109200,22532572.0
1408,tt0365109,Deep Blue,0,2003,83.0,Documentary,7.4,2760.0,19288261,132261.0
1409,tt0365125,A Dirty Shame,0,2004,89.0,Comedy,5.1,11841.0,1808166,1339668.0
1410,tt0365190,Red Lights,0,2004,105.0,"Crime,Drama,Mystery",6.7,2497.0,2373828,673828.0
